Comunidad Autonoma;Provincia;Municipio
Andalucia;Almeria;Abla
Andalucia;Almeria;Abrucena
Andalucia;Almeria;Adra
Andalucia;Almeria;Albanchez
Andalucia;Almeria;Alboloduy
Andalucia;Almeria;Albox
Andalucia;Almeria;Alcolea
Andalucia;Almeria;Alcontar
Andalucia;Almeria;Alcudia de Monteagud
Andalucia;Almeria;Alhabia
Andalucia;Almeria;Alhama de Almeria
Andalucia;Almeria;Alicun
Andalucia;Almeria;Almeria
Andalucia;Almeria;Almocita
Andalucia;Almeria;Alsodux
Andalucia;Almeria;Antas
Andalucia;Almeria;Arboleas
Andalucia;Almeria;Armuna de Almanzora
Andalucia;Almeria;Bacares
Andalucia;Almeria;Bayarcal
Andalucia;Almeria;Bayarque
Andalucia;Almeria;Bedar
Andalucia;Almeria;Beires
Andalucia;Almeria;Benahadux
Andalucia;Almeria;Benitagla
Andalucia;Almeria;Benizalon
Andalucia;Almeria;Bentarique
Andalucia;Almeria;Berja
Andalucia;Almeria;Canjayar
Andalucia;Almeria;Cantoria
Andalucia;Almeria;Carboneras
Andalucia;Almeria;Castro de Filabres
Andalucia;Almeria;Cobdar
Andalucia;Almeria;Cuevas del Almanzora
Andalucia;Almeria;Chercos
Andalucia;Almeria;Chirivel
Andalucia;Almeria;Dalias
Andalucia;Almeria;Enix
Andalucia;Almeria;Felix
Andalucia;Almeria;Fines
Andalucia;Almeria;Finana
Andalucia;Almeria;Fondon
Andalucia;Almeria;Gador
Andalucia;Almeria;Gallardos, Los
Andalucia;Almeria;Garrucha
Andalucia;Almeria;Gergal
Andalucia;Almeria;Huecija
Andalucia;Almeria;Huercal de Almeria
Andalucia;Almeria;Huercal-Overa
Andalucia;Almeria;Illar
Andalucia;Almeria;Instincion
Andalucia;Almeria;Laroya
Andalucia;Almeria;Laujar de Andarax
Andalucia;Almeria;Lijar
Andalucia;Almeria;Lubrin
Andalucia;Almeria;Lucainena de las Torres
Andalucia;Almeria;Lucar
Andalucia;Almeria;Macael
Andalucia;Almeria;Maria
Andalucia;Almeria;Mojacar
Andalucia;Almeria;Nacimiento
Andalucia;Almeria;Nijar
Andalucia;Almeria;Ohanes
Andalucia;Almeria;Olula de Castro
Andalucia;Almeria;Olula del Rio
Andalucia;Almeria;Oria
Andalucia;Almeria;Padules
Andalucia;Almeria;Partaloa
Andalucia;Almeria;Paterna del Rio
Andalucia;Almeria;Pechina
Andalucia;Almeria;Pulpi
